config,method,seed,success,tiles,grass_tiles,sand_tiles,water_tiles,shore,free,fit4,um_grass,um_sand,um_water,seconds,hash,min_local_fit4,worst_wheat_distance,worst_wood_distance,viable_teams,wheat_tiles,wood_tiles,stone_tiles,algae_tiles,status
size-1-6-9-12,1,24003,1,32768,18547,735,9666,3820,14623,11114,19544,2644,10580,0.007410,4488402287655512689,213,12,19,12,1536,1454,677,1988,ok
size-1-6-9-12,1,24004,1,32768,18464,725,9613,3966,14601,11185,19483,2707,10578,0.005707,9377437999984426408,268,11,17,12,1628,1403,567,1990,ok
size-1-6-9-12,1,24004,1,32768,18464,725,9613,3966,14601,11185,19483,2707,10578,0.020534,9377437999984426408,268,11,17,12,1628,1403,567,1990,ok
size-1-9-6-12,1,24001,1,32768,18428,650,9648,4042,14596,10861,19461,2670,10637,0.003411,16480885287169114817,632,13,21,12,1586,1355,637,1981,ok
size-1-9-6-12,1,24001,1,32768,18428,650,9648,4042,14596,10861,19461,2670,10637,0.031473,16480885287169114817,632,13,21,12,1586,1355,637,1981,ok
size-1-9-6-12,1,24003,1,32768,18407,682,9623,4056,14488,10953,19462,2708,10598,0.003339,5197832662345982046,549,17,19,12,1585,1429,650,1980,ok
size-1-9-6-12,1,24003,1,32768,18407,682,9623,4056,14488,10953,19462,2708,10598,0.004480,5197832662345982046,549,17,19,12,1585,1429,650,1980,ok
size-1-9-6-12,1,24004,1,32768,18651,551,9813,3753,14547,11197,19611,2428,10729,0.007475,15292689523055164251,490,13,19,12,1644,1494,707,1978,ok
size-1-9-6-12,1,24004,1,32768,18651,551,9813,3753,14547,11197,19611,2428,10729,0.003726,15292689523055164251,490,13,19,12,1644,1494,707,1978,ok
size-1-9-9-12,1,24001,1,262144,149149,5198,78183,29614,118418,94574,156739,20005,85400,0.140929,16415405346331145548,0,100000,16,11,12901,12409,5160,15840,ok
size-1-9-9-12,1,24001,1,262144,149149,5198,78183,29614,118418,94574,156739,20005,85400,0.207999,16415405346331145548,0,100000,16,11,12901,12409,5160,15840,ok
size-1-9-9-12,1,24003,1,262144,148916,5302,78338,29588,118280,94638,156537,20096,85511,0.302889,17473792559893687585,378,19,16,12,12411,12609,5360,15855,ok
size-1-9-9-12,1,24003,1,262144,148916,5302,78338,29588,118280,94638,156537,20096,85511,0.298061,17473792559893687585,378,19,16,12,12411,12609,5360,15855,ok
size-1-9-9-12,1,24004,1,262144,149399,4538,78867,29340,118261,94428,156953,19209,85982,0.187686,14278055095835393210,637,16,16,12,12710,12805,5373,15920,ok
size-1-9-9-12,1,24004,1,262144,149399,4538,78867,29340,118261,94428,156953,19209,85982,0.226154,14278055095835393210,637,16,16,12,12710,12805,5373,15920,ok
corner-1-min,1,24001,0,0,0,0,0,0,0,0,0,0,0,0.041574,14695981039346656037,0,100000,100000,0,0,0,0,0,failed
corner-1-min,1,24001,0,0,0,0,0,0,0,0,0,0,0,0.000003,14695981039346656037,0,100000,100000,0,0,0,0,0,failed
corner-1-min,1,24003,0,0,0,0,0,0,0,0,0,0,0,0.000005,14695981039346656037,0,100000,100000,0,0,0,0,0,failed
corner-1-min,1,24003,0,0,0,0,0,0,0,0,0,0,0,0.000008,14695981039346656037,0,100000,100000,0,0,0,0,0,failed
corner-1-min,1,24004,0,0,0,0,0,0,0,0,0,0,0,0.000007,14695981039346656037,0,100000,100000,0,0,0,0,0,failed
corner-1-min,1,24004,0,0,0,0,0,0,0,0,0,0,0,0.000004,14695981039346656037,0,100000,100000,0,0,0,0,0,failed
corner-1-max,1,24001,1,262144,113996,5220,113136,29792,56340,17376,121524,20084,120536,0.128402,11153872659230279882,281,1,2,12,25640,13892,7568,21696,ok
corner-1-max,1,24001,1,262144,113996,5220,113136,29792,56340,17376,121524,20084,120536,0.095332,11153872659230279882,281,1,2,12,25640,13892,7568,21696,ok
corner-1-max,1,24003,1,262144,111552,5024,110128,35440,56996,16952,120524,22744,118876,0.064198,13304278174034654577,181,15,1,12,18940,17776,8092,21504,ok
corner-1-max,1,24003,1,262144,111552,5024,110128,35440,56996,16952,120524,22744,118876,0.082056,13304278174034654577,181,15,1,12,18940,17776,8092,21504,ok
corner-1-max,1,24004,1,262144,112668,6588,110440,32448,55832,17184,120676,22812,118656,0.074396,765892347145801071,106,1,1,12,23484,14736,7608,21664,ok
corner-1-max,1,24004,1,262144,112668,6588,110440,32448,55832,17184,120676,22812,118656,0.075969,765892347145801071,106,1,1,12,23484,14736,7608,21664,ok
edge-2-width-min,2,24001,1,8192,4472,313,2617,790,3197,2353,4705,705,2782,0.001032,12503860844371180222,0,22,7,3,359,564,254,472,ok
edge-2-width-min,2,24001,1,8192,4472,313,2617,790,3197,2353,4705,705,2782,0.001542,12503860844371180222,0,22,7,3,359,564,254,472,ok
edge-2-width-min,2,24003,1,8192,4383,285,2580,944,3163,2287,4669,753,2770,0.001019,2289046138649135511,650,13,13,4,527,425,174,482,ok
edge-2-width-min,2,24003,1,8192,4383,285,2580,944,3163,2287,4669,753,2770,0.002871,2289046138649135511,650,13,13,4,527,425,174,482,ok
edge-2-width-min,2,24004,1,8192,4460,248,2581,903,3245,2383,4719,696,2777,0.003043,12008136029917599670,469,5,16,4,420,508,193,478,ok
edge-2-width-min,2,24004,1,8192,4460,248,2581,903,3245,2383,4719,696,2777,0.001045,12008136029917599670,469,5,16,4,420,508,193,478,ok
edge-2-width-max,2,24001,1,65536,37588,1941,22369,3638,26676,23371,38639,3757,23140,0.179237,898222588874111289,1231,23,24,4,3715,4034,3058,3843,ok
edge-2-width-max,2,24001,1,65536,37588,1941,22369,3638,26676,23371,38639,3757,23140,0.155979,898222588874111289,1231,23,24,4,3715,4034,3058,3843,ok
edge-2-width-max,2,24003,1,65536,37493,1887,22178,3978,26774,23275,38591,3874,23071,0.133704,7657302466715763635,1260,20,26,4,4216,3547,2853,3813,ok
