job,host,seed,variant,shape,status,diagnostic,algae-amount,branching,fruit-amount,height,long-tongues,rim-width,stone-amount,teams,tongue-count,wheat-amount,width,wood-amount,workers,fairness,score,minimum_build_sites,minimum_wheat,minimum_wood,branches_requested,branches_placed,approaches_narrow,unreachable_walking_pairs,water_components,telemetry_dropped,telemetry_invalid,report_version
0a4df72ffe439fa51a46d655c7a0f91f,pharaoh-dev-2.local,50162,combined-random,256x128x2,completed,lava-shield revision 1 seed 50162 [complete]: ,250,1,75,7,25,8,225,2,5,50,8,250,2,0.980745,0.603592,614,0.625,0.65625,5,3,False,0,2,0,0,2
8e8ffe950afba5cb7e8c5294235bd22f,pharaoh-dev-1.local,50163,combined-random,256x256x2,completed,lava-shield revision 1 seed 50163 [complete]: ,100,0,125,8,50,8,250,2,3,150,8,125,8,0.988951,0.636064,916,0.625,0.71875,0,0,False,0,2,0,0,2
4d2085aa2974ecdbd851407e90bd4e42,pharaoh-dev-1.local,50164,combined-random,256x256x4,completed,lava-shield revision 1 seed 50164 [complete]: ,50,2,0,8,50,12,200,4,5,175,8,200,5,0.936477,0.567714,827,0.541667,0.71875,10,9,False,0,2,0,0,2
760dfe95a44d67d1a6911de4387a3d2f,pharaoh-dev-1.local,50165,combined-random,256x256x8,completed,lava-shield revision 1 seed 50165 [complete]: ,300,2,100,8,75,8,50,8,4,125,8,225,3,0.89734,0.508108,367,0.458333,0.6875,8,7,False,0,2,0,0,2
6be5dddc221ba6b9b440c1f5ed5481cc,pharaoh-dev-1.local,50166,combined-random,256x512x2,completed,lava-shield revision 1 seed 50166 [complete]: ,125,1,150,9,50,12,25,2,6,100,8,300,5,0.994994,0.62976,834,0.625,0.71875,6,6,False,0,2,0,0,2
a53e7f6d58b66899eb9bb58cf9b4a688,pharaoh-dev-1.local,50167,combined-random,256x512x4,completed,lava-shield revision 1 seed 50167 [complete]: ,150,3,225,9,50,6,200,4,8,200,8,275,1,0.916055,0.522501,648,0.458333,0.6875,24,21,False,0,2,0,0,2
4ad44fce7bb7e14d3697fcd720ffe814,pharaoh-dev-1.local,50168,combined-random,256x512x8,completed,lava-shield revision 1 seed 50168 [complete]: ,250,1,250,9,75,8,275,8,5,50,8,50,5,0.947842,0.536198,959,0.541667,0.65625,5,5,False,0,2,0,0,2
121cd43a34e09e2c15d400b380267046,pharaoh-dev-3.local,50169,combined-random,512x256x2,completed,lava-shield revision 1 seed 50169 [complete]: ,0,3,300,8,50,12,125,2,3,250,9,225,7,0.989728,0.616134,818,0.625,0.71875,9,5,False,0,2,0,0,2
c71d6a20133d3f6796da21e67a1a3622,pharaoh-dev-3.local,50170,combined-random,512x256x4,completed,lava-shield revision 1 seed 50170 [complete]: ,225,1,75,8,50,12,125,4,3,100,9,150,5,0.974852,0.610734,900,0.625,0.71875,3,3,False,0,2,0,0,2
e15dabc9d8a7de9d653a004b2f3772d4,pharaoh-dev-3.local,50171,combined-random,512x256x8,completed,lava-shield revision 1 seed 50171 [complete]: ,100,1,0,8,75,6,150,8,4,0,9,25,6,0.944981,0.520731,785,0.541667,0.65625,4,3,False,0,2,0,0,2
