job,host,seed,variant,shape,cohort,status,diagnostic,algae-amount,branching,fruit-amount,height,long-tongues,rim-width,stone-amount,teams,tongue-count,wheat-amount,width,wood-amount,workers,fairness,score,minimum_build_sites,minimum_wheat,minimum_wood,branches_requested,branches_placed,approaches_narrow,starter_secondary,unreachable_walking_pairs,water_components,telemetry_dropped,telemetry_invalid,report_version
d1c0aa120d17fe6865cd4fdea0e6f73e,pharaoh-dev-2.local,50131,combined-random,256x256x2,bulk,completed,lava-shield revision 1 seed 50131 [complete]: ,225,1,125,8,50,10,250,2,6,250,8,75,7,0.991373,0.611548,804,0.625,0.71875,6,4,False,False,0,2,0,0,2
e59fd4e755697fefae1495156811f61a,pharaoh-dev-2.local,50132,combined-random,256x256x4,bulk,completed,lava-shield revision 1 seed 50132 [complete]: ,50,2,175,8,75,10,150,4,8,0,8,50,5,0.956181,0.545682,758,0.625,0.71875,16,9,True,False,0,2,0,0,2
78356a50782fe754a4a930357a930727,pharaoh-dev-2.local,50133,combined-random,256x256x8,bulk,completed,lava-shield revision 1 seed 50133 [complete]: ,150,2,175,8,50,6,125,8,5,250,8,225,7,0.88903,0.497196,445,0.625,0.6875,10,10,True,False,0,2,0,0,2
1155a17341fa38fe53a7064fc818e060,pharaoh-dev-2.local,50134,combined-random,256x512x2,bulk,completed,lava-shield revision 1 seed 50134 [complete]: ,100,0,125,9,50,12,100,2,3,125,8,275,5,0.971316,0.593056,1102,0.541667,0.71875,0,0,False,False,0,2,0,0,2
92e9c8ebf27128ca040321517ffb8a62,pharaoh-dev-1.local,50135,combined-random,256x512x4,bulk,completed,lava-shield revision 1 seed 50135 [complete]: ,150,2,125,9,75,6,275,4,5,300,8,200,2,0.9338,0.547204,776,0.625,0.6875,10,9,False,False,0,2,0,0,2
b9217732b458210fbaaec94546bae5c6,pharaoh-dev-1.local,50136,combined-random,256x512x8,bulk,completed,lava-shield revision 1 seed 50136 [complete]: ,175,1,0,9,75,8,175,8,5,275,8,50,6,0.928608,0.545532,754,0.625,0.65625,5,4,False,False,0,2,0,0,2
a58c109948d67b2a879836159df4c032,pharaoh-dev-1.local,50137,combined-random,512x256x2,bulk,completed,lava-shield revision 1 seed 50137 [complete]: ,175,1,25,8,50,10,75,2,9,0,9,225,2,0.971956,0.581096,959,0.625,0.71875,9,8,False,True,0,2,0,0,2
e26b8ab0c5dee2bb0e41f5b66c7f04f8,pharaoh-dev-1.local,50138,combined-random,512x256x4,bulk,completed,lava-shield revision 1 seed 50138 [complete]: ,150,1,175,8,25,6,150,4,3,100,9,75,2,0.975948,0.601604,813,0.625,0.65625,3,3,False,False,0,2,0,0,2
37f4c8afa16ba5ed9ce1704d2c53ac2d,pharaoh-dev-1.local,50139,combined-random,512x256x8,bulk,completed,lava-shield revision 1 seed 50139 [complete]: ,25,3,75,8,50,8,100,8,4,150,9,150,4,0.925819,0.558213,880,0.625,0.71875,12,11,False,False,0,2,0,0,2
f2f5d9e0629023dad8b0dd414248b75e,pharaoh-dev-1.local,50140,combined-random,512x512x2,bulk,completed,lava-shield revision 1 seed 50140 [complete]: ,0,1,300,9,75,6,0,2,8,300,9,275,6,0.988976,0.615307,888,0.625,0.71875,8,7,False,False,0,2,0,0,2
6ea847c01d8cd4916fa1290e9630a5c5,pharaoh-dev-3.local,50141,combined-random,512x512x4,bulk,completed,lava-shield revision 1 seed 50141 [complete]: ,300,1,200,9,75,6,0,4,7,225,9,175,3,0.956135,0.574249,715,0.625,0.59375,7,7,False,False,0,2,0,0,2
81c5469c66f498a17f3a2a7df4711ded,pharaoh-dev-3.local,50142,combined-random,512x512x8,bulk,completed,lava-shield revision 1 seed 50142 [complete]: ,175,1,150,9,50,8,100,8,5,25,9,125,1,0.86981,0.451668,487,0.5,0.53125,5,5,False,False,0,2,0,0,2
